name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
AJ Hollioake,1996-1999,35,30,6,606,83*,75.09,0,3,1,England
RT Robinson,1984-1988,26,26,0,597,83,58.18,0,3,2,England
D Gough,1994-2006,151,85,37,589,46*,63.53,0,0,10,England
W Larkins,1979-1991,23,23,0,589,124,57.4,1,0,3,England
JC Buttler,2012-2014,26,22,3,572,99,124.89,0,4,4,England
C White,1994-2003,50,40,5,558,57*,62.06,0,1,9,England
P Willey,1977-1986,26,24,1,538,64,62.92,0,5,3,England
JM Brearley,1977-1980,24,24,3,510,78,45.53,0,3,6,England
JE Emburey,1980-1993,61,45,10,501,34,75.45,0,0,3,England
GP Swann,2000-2013,77,47,12,499,34,90.56,0,0,3,England
SR Patel,2008-2013,33,22,7,482,70*,93.23,0,1,1,England
EC Joyce,2006-2007,17,17,0,471,107,66.43,1,3,1,England
SCJ Broad,2006-2014,103,56,20,461,45*,74.23,0,0,7,England
JWM Dalrymple,2006-2007,26,25,1,460,67,74.31,0,2,2,England
DR Pringle,1982-1993,43,30,12,425,49*,68.99,0,0,1,England
RC Russell,1987-1998,38,31,7,423,50,66.3,0,1,0,England
ID Blackwell,2002-2006,33,29,2,403,82,86.66,0,1,6,England
AF Giles,1997-2005,59,35,13,385,41,69.87,0,0,2,England
MR Ramprakash,1991-2001,18,18,4,376,51,69.11,0,1,0,England
RC Irani,1996-2003,29,29,5,349,53,65.11,0,1,7,England
CC Lewis,1990-1998,49,39,13,345,33,78.76,0,0,6,England
RDB Croft,1996-2001,49,35,11,340,32,66.4,0,0,4,England
DJ Capel,1987-1990,21,19,2,327,50*,68.26,0,1,0,England
MH Yardy,2006-2011,28,24,8,326,60*,69.06,0,2,1,England
AD Brown,1996-2001,15,15,0,317,118,84.53,1,1,2,England
LE Plunkett,2005-2011,29,25,10,315,56,83.33,0,1,2,England
CM Old,1973-1981,29,24,7,311,51*,86.38,0,1,4,England
BC Hollioake,1997-2002,20,17,2,309,63,81.1,0,2,3,England
