name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
IE O'Brien,2008-2009,8,2,2,3,3*,27.27,0,0,0,New Zealand
RE Redmond,1973-1973,1,1,0,3,3,27.27,0,0,0,New Zealand
CE Bulfin,1999-1999,2,1,0,2,2,66.66,0,0,0,New Zealand
DR O'Sullivan,1974-1976,3,2,1,2,1*,40,0,0,0,New Zealand
SJ Roberts,1990-1990,2,1,1,1,1*,50,0,0,0,New Zealand
BP Bracewell,1978-1978,1,1,1,0,0*,0,0,0,0,New Zealand
RG Hart,2002-2002,2,1,0,0,0,0,0,0,1,New Zealand
JP Millmow,1990-1990,5,1,1,0,0*,0,0,0,0,New Zealand
MB Owens,1992-1992,1,1,0,0,0,0,0,0,1,New Zealand
NM Parker,1976-1976,1,1,0,0,0,0,0,0,1,New Zealand
GW Aldridge,2011-2011,2,0,0,0,0,0,0,0,0,New Zealand
MD Bailey,1998-1998,1,0,0,0,0,0,0,0,0,New Zealand
MJ Henry,2014-2014,1,0,0,0,0,0,0,0,0,New Zealand
LW Stott,1979-1979,1,0,0,0,0,0,0,0,0,New Zealand
EP Thompson,2009-2009,1,0,0,0,0,0,0,0,0,New Zealand
KP Walmsley,2003-2003,2,0,0,0,0,0,0,0,0,New Zealand
Inzamam-ul-Haq,1991-2007,375,348,52,11701,137*,74.2,10,83,20,Pakistan
Mohammad Yousuf,1998-2010,281,267,40,9554,141*,74.91,15,62,15,Pakistan
Saeed Anwar,1989-2003,247,244,19,8824,194,80.67,20,43,15,Pakistan
Shahid Afridi,1996-2014,373,345,25,7582,124,115.54,6,36,28,Pakistan
Javed Miandad,1975-1996,233,218,41,7381,119*,67.01,8,50,8,Pakistan
Saleem Malik,1982-1999,283,256,38,7170,102,76.41,5,47,19,Pakistan
Younis Khan,2000-2013,253,243,23,7014,144,75.36,6,48,21,Pakistan
Ijaz Ahmed,1986-2000,250,232,29,6564,139*,80.3,10,37,14,Pakistan
Rameez Raja,1985-1997,198,197,15,5841,119*,63.31,9,31,15,Pakistan
Shoaib Malik,1999-2013,216,193,25,5490,143,78.28,7,31,13,Pakistan
Abdul Razzaq,1996-2011,261,225,57,5031,112,81.67,3,23,13,Pakistan
Aamer Sohail,1990-2000,156,155,5,4780,134,65.5,5,31,10,Pakistan
Misbah-ul-Haq,2002-2014,146,133,31,4527,96*,73.97,0,37,5,Pakistan
Mohammad Hafeez,2003-2014,146,146,9,4254,140*,72.54,9,20,13,Pakistan
Wasim Akram,1984-2003,356,280,55,3717,86,88.33,0,6,28,Pakistan
Imran Khan,1974-1992,175,151,40,3709,102*,72.65,1,19,6,Pakistan
Moin Khan,1990-2004,219,183,41,3266,72*,81.3,0,12,17,Pakistan
Kamran Akmal,2002-2013,154,135,14,3168,124,83.83,5,10,9,Pakistan
Salman Butt,2004-2010,78,78,4,2725,136,76.28,8,14,15,Pakistan
Mudassar Nazar,1977-1989,122,115,10,2653,95,51.71,0,16,6,Pakistan
Umar Akmal,2009-2014,94,83,15,2623,102*,87.08,2,19,6,Pakistan
Zaheer Abbas,1974-1985,62,60,6,2572,123,84.8,7,13,2,Pakistan
Yasir Hameed,2003-2007,56,56,1,2028,127*,66.95,3,12,2,Pakistan
Imran Nazir,1999-2009,79,79,2,1895,160,81.01,2,9,10,Pakistan
Mohsin Khan,1977-1986,75,75,5,1877,117*,55.64,2,8,3,Pakistan
Imran Farhat,2001-2013,58,58,2,1719,107,69.06,1,13,3,Pakistan
Rashid Latif,1992-2003,166,117,29,1709,79,76.39,0,3,8,Pakistan
Saleem Elahi,1995-2004,48,47,4,1579,135,71.31,4,9,3,Pakistan
Azhar Mahmood,1996-2007,143,110,26,1521,67,76.5,0,3,9,Pakistan
Ahmed Shehzad,2009-2014,45,45,1,1514,124,71.55,5,6,3,Pakistan
Nasir Jamshed,2008-2013,43,43,3,1383,112,76.53,3,8,3,Pakistan
Shoaib Mohammad,1984-1993,63,58,6,1269,126*,50.92,1,8,8,Pakistan
Basit Ali,1993-1996,50,43,6,1265,127*,75.79,1,9,3,Pakistan
Asad Shafiq,2010-2013,46,45,3,1096,84,69.41,0,8,5,Pakistan
Asif Mujtaba,1986-1996,66,55,14,1068,113*,63.91,1,6,8,Pakistan
Waqar Younis,1989-2003,262,139,45,969,37,67.05,0,0,15,Pakistan
Fawad Alam,2007-2014,29,27,10,791,114*,77.47,1,5,1,Pakistan
Majid Khan,1973-1982,23,22,1,786,109,74.71,1,7,1,Pakistan
Wasim Raja,1973-1985,54,45,10,782,60,66.95,0,2,6,Pakistan
Saleem Yousuf,1982-1990,86,62,19,768,62,75,0,4,5,Pakistan
Manzoor Elahi,1984-1995,54,46,13,741,50*,89.6,0,1,1,Pakistan
Saqlain Mushtaq,1995-2003,169,98,38,711,37*,49.58,0,0,13,Pakistan
Qasim Umar,1983-1987,31,31,3,642,69,57.06,0,4,3,Pakistan
Abdul Qadir,1983-1993,104,68,26,641,41*,75.5,0,0,6,Pakistan
Mansoor Akhtar,1980-1990,41,35,1,593,47,51.65,0,0,1,Pakistan
Aamer Malik,1988-1994,24,23,1,556,90,56.21,0,5,1,Pakistan
Mohammad Wasim,1996-2000,25,25,2,543,76,52.06,0,3,4,Pakistan
Naved-ul-Hasan,2003-2010,74,51,18,524,33,84.51,0,0,4,Pakistan
Taufeeq Umar,2001-2011,22,22,1,504,81*,56.31,0,3,0,Pakistan
Azhar Ali,2011-2013,14,14,3,452,96,64.84,0,4,0,Pakistan
Umar Gul,2003-2014,124,63,17,451,39,70.8,0,0,9,Pakistan
Sohaib Maqsood,2013-2014,14,14,1,433,73,78.01,0,3,0,Pakistan
Mushtaq Ahmed,1989-2003,144,76,34,399,34*,57.16,0,0,10,Pakistan
Sadiq Mohammad,1973-1980,19,19,1,383,74,50.72,0,2,0,Pakistan
Shoaib Akhtar,1998-2011,158,80,39,361,43,71.06,0,0,11,Pakistan
Wajahatullah Wasti,1999-2000,15,15,0,349,84,48.94,0,1,1,Pakistan
Zahid Fazal,1990-1994,19,18,3,348,98*,59.58,0,2,0,Pakistan
Sohail Tanvir,2007-2013,58,36,9,347,59,84.22,0,1,3,Pakistan
Asif Iqbal,1973-1979,10,8,2,330,62,70.81,0,5,0,Pakistan
Saeed Ajmal,2008-2014,110,68,24,318,33,61.62,0,0,10,Pakistan
Faisal Iqbal,2000-2006,18,16,2,314,100*,60.5,1,0,3,Pakistan
Mohammad Sami,2001-2012,85,46,19,314,46,64.08,0,0,5,Pakistan
Zahoor Elahi,1996-1997,14,14,1,297,86,58.57,0,3,3,Pakistan
Wahab Riaz,2008-2013,39,29,7,291,47*,76.98,0,0,9,Pakistan
Aaqib Javed,1988-1998,163,51,26,267,45*,58.55,0,0,7,Pakistan
Naved Latif,2001-2003,11,11,0,262,113,62.82,1,0,1,Pakistan
Umar Amin,2010-2013,14,14,1,250,59,69.25,0,1,0,Pakistan
Hasan Raza,1996-1999,16,13,0,242,77,50.41,0,1,1,Pakistan
Khurram Manzoor,2008-2009,7,7,0,236,83,62.93,0,3,1,Pakistan
Iftikhar Anjum,2004-2010,62,34,19,234,32,61.9,0,0,4,Pakistan
Sarfraz Nawaz,1973-1984,45,31,8,221,34*,64.05,0,0,5,Pakistan
Wasim Bari,1973-1984,51,26,13,221,34,51.27,0,0,0,Pakistan
Tahir Naqqash,1980-1985,40,23,9,210,61,86.77,0,1,4,Pakistan
Mushtaq Mohammad,1973-1978,10,9,3,209,55,59.2,0,1,0,Pakistan
Sarfraz Ahmed,2007-2013,26,15,4,201,46*,71.53,0,0,1,Pakistan
Moin-ul-Atiq,1988-1989,5,5,0,199,105,71.32,1,0,0,Pakistan
Ijaz Faqih,1980-1988,27,19,3,197,42*,56.12,0,0,4,Pakistan
Akram Raza,1989-1995,49,25,14,193,33*,62.25,0,0,4,Pakistan
Sharjeel Khan,2013-2014,9,9,0,185,61,81.85,0,1,0,Pakistan
Saadat Ali,1984-1984,8,7,1,184,78*,53.95,0,1,0,Pakistan
Mohammad Amir,2009-2010,15,12,4,167,73*,78.03,0,1,3,Pakistan
Haroon Rasheed,1977-1982,12,10,2,166,63*,52.53,0,1,0,Pakistan
Mohammad Hussain,1997-1998,14,12,7,154,31*,113.23,0,0,0,Pakistan
Khalid Latif,2008-2010,5,5,0,147,64,64.47,0,1,1,Pakistan
Abdur Rehman,2006-2014,31,23,6,142,31,53.99,0,0,4,Pakistan
Shahid Saeed,1989-1993,10,10,0,141,50,44.62,0,1,0,Pakistan
Arshad Khan,1993-2006,58,29,18,133,20,61.29,0,0,5,Pakistan
Bazid Khan,2004-2008,5,5,0,131,66,56.46,0,2,1,Pakistan
Sajid Ali,1984-1997,13,12,0,130,28,44.36,0,0,0,Pakistan
Shahid Mahboob,1982-1984,10,6,1,119,77,61.34,0,1,1,Pakistan
Azam Khan,1996-1998,6,5,0,116,72,65.53,0,1,0,Pakistan
Tauseef Ahmed,1982-1990,70,25,14,116,27*,53.7,0,0,3,Pakistan
Anwar Ali,2013-2014,5,5,2,113,43*,83.7,0,0,0,Pakistan
Naved Anjum,1984-1992,13,12,3,113,30,73.37,0,0,1,Pakistan
Hasan Jamil,1977-1978,6,5,0,111,28,92.5,0,0,0,Pakistan
Rashid Khan,1980-1985,29,15,7,110,17,63.58,0,0,0,Pakistan
Shahzaib Hasan,2010-2010,3,3,0,100,50,88.49,0,1,0,Pakistan
Manzoor Akhtar,1997-1998,7,4,0,97,44,65.98,0,0,0,Pakistan
Aamer Hanif,1993-1995,5,4,2,89,36*,69.53,0,0,0,Pakistan
Anil Dalpat,1984-1986,15,10,3,87,37,63.97,0,0,1,Pakistan
Younis Ahmed,1987-1987,2,2,0,84,58,55.62,0,1,0,Pakistan
Bilawal Bhatti,2013-2014,8,5,1,80,39,129.03,0,0,0,Pakistan
Hammad Azam,2011-2012,8,6,2,76,36,63.86,0,0,0,Pakistan
Yasir Arafat,2000-2009,11,8,3,74,27,67.27,0,0,0,Pakistan
Ashraf Ali,1980-1985,16,9,5,69,19*,51.11,0,0,1,Pakistan
Akhtar Sarfraz,1997-1998,4,4,0,66,25,66.66,0,0,0,Pakistan
Saeed Azad,1995-1996,4,4,0,65,31,49.61,0,0,0,Pakistan
Adnan Akmal,2011-2012,5,4,1,62,27,69.66,0,0,0,Pakistan
Shakeel Ahmed jnr,1995-1995,2,2,0,61,36,47.65,0,0,0,Pakistan
Humayun Farhat,2001-2001,5,3,0,60,39,107.14,0,0,0,Pakistan
Sohail Fazal,1989-1989,2,2,0,56,32,94.91,0,0,0,Pakistan
Ghulam Ali,1993-1995,3,3,0,53,38,43.8,0,0,0,Pakistan
Junaid Khan,2011-2014,46,19,10,50,25,51.54,0,0,4,Pakistan
Zafar Iqbal,1995-1995,8,6,0,48,18,77.41,0,0,1,Pakistan
Zulqarnain Haider,2010-2010,4,4,2,48,19*,70.58,0,0,0,Pakistan
Azeem Hafeez,1983-1985,15,10,7,45,15,43.26,0,0,1,Pakistan
Haris Sohail,2013-2013,4,3,0,45,26,68.18,0,0,0,Pakistan
Azmat Rana,1978-1978,2,2,1,42,22*,57.53,0,0,0,Pakistan
Shafiq Ahmed,1977-1978,3,3,0,41,29,45.05,0,0,0,Pakistan
Iqbal Qasim,1977-1988,15,7,1,39,13,43.33,0,0,2,Pakistan
Shahid Anwar,1996-1996,1,1,0,37,37,84.09,0,0,0,Pakistan
Saleem Jaffar,1986-1990,39,13,11,36,10*,49.31,0,0,2,Pakistan
Ata-ur-Rehman,1992-1996,30,13,6,34,11*,44.73,0,0,2,Pakistan
Atiq-uz-Zaman,2000-2000,3,3,1,34,18,94.44,0,0,0,Pakistan
Mohammad Asif,2005-2010,35,16,7,34,6,34,0,0,3,Pakistan
Sikander Bakht,1977-1989,27,11,7,31,16*,31.95,0,0,2,Pakistan
Imran Abbas,2000-2000,2,2,0,29,28,46.03,0,0,0,Pakistan
Kamran Hussain,2008-2008,2,1,1,28,28*,133.33,0,0,0,Pakistan
Taslim Arif,1980-1980,2,2,0,28,24,48.27,0,0,0,Pakistan
Mohsin Kamal,1984-1989,19,6,3,27,11*,67.5,0,0,0,Pakistan
Mujahid Jamshed,1997-1997,4,3,1,27,23,50,0,0,0,Pakistan
Zakir Khan,1984-1990,17,5,4,27,11*,42.85,0,0,0,Pakistan
Aizaz Cheema,2011-2012,14,6,3,26,9*,57.77,0,0,0,Pakistan
Pervez Mir,1975-1977,3,3,1,26,18,59.09,0,0,0,Pakistan
Wasim Haider,1992-1992,3,2,0,26,13,37.14,0,0,0,Pakistan
Saleem Altaf,1973-1978,6,2,1,25,21,47.16,0,0,0,Pakistan
Shahid Nazir,1996-2000,17,8,7,25,8,58.13,0,0,0,Pakistan
Naeem Ashraf,1995-1995,2,2,1,24,16,55.81,0,0,0,Pakistan
Mohammad Salman,2011-2011,7,3,1,22,19*,56.41,0,0,1,Pakistan
Mohammad Irfan,2010-2013,27,15,10,21,4*,33.33,0,0,3,Pakistan
Rizwan-uz-Zaman,1981-1987,3,3,0,20,14,15.5,0,0,0,Pakistan
Saleem Pervez,1980-1980,1,1,0,18,18,46.15,0,0,0,Pakistan
Tanvir Ahmed,2011-2011,2,1,0,18,18,150,0,0,0,Pakistan
Zulqarnain,1985-1989,16,6,3,18,11*,60,0,0,2,Pakistan
Intikhab Alam,1973-1976,4,2,0,17,10,37.77,0,0,0,Pakistan
Irfan Fazil,2000-2000,1,1,0,15,15,93.75,0,0,0,Pakistan
Mansoor Rana,1990-1990,2,2,0,15,10,62.5,0,0,0,Pakistan
Mohammad Zahid,1996-2002,11,4,2,15,7*,68.18,0,0,0,Pakistan
Asif Mahmood,1998-1998,2,2,0,14,14,41.17,0,0,1,Pakistan
Mohammad Akram,1995-2000,23,9,7,14,7*,41.17,0,0,1,Pakistan
Nadeem Ghauri,1990-1990,6,3,2,14,7*,56,0,0,0,Pakistan
Aamer Nazir,1993-1995,9,3,2,13,9*,65,0,0,0,Pakistan
Asad Ali,2013-2013,4,2,0,13,11,81.25,0,0,0,Pakistan
Usman Salahuddin,2011-2011,2,2,0,13,8,46.42,0,0,0,Pakistan
Danish Kaneria,2001-2007,18,10,8,12,6*,54.54,0,0,2,Pakistan
Javed Qadeer,1995-1995,1,1,0,12,12,52.17,0,0,0,Pakistan
Arshad Pervez,1978-1978,2,2,0,11,8,23.4,0,0,0,Pakistan
Haafiz Shahid,1988-1988,3,3,2,11,7*,47.82,0,0,0,Pakistan
Asif Masood,1973-1976,7,3,1,10,6,58.82,0,0,1,Pakistan
Kabir Khan,1994-2000,10,5,4,10,5,40,0,0,0,Pakistan
Shabbir Ahmed,1999-2005,32,11,5,10,2,34.48,0,0,0,Pakistan
Faisal Athar,2003-2003,1,1,0,9,9,23.68,0,0,0,Pakistan
Fazl-e-Akbar,1998-2001,2,1,0,7,7,87.5,0,0,0,Pakistan
Liaqat Ali,1977-1978,3,1,0,7,7,22.58,0,0,0,Pakistan
Ehsan Adil,2013-2013,2,1,1,5,5*,50,0,0,0,Pakistan
Jalal-ud-Din,1982-1983,8,2,0,5,5,100,0,0,1,Pakistan
Mansoor Amjad,2008-2008,1,1,0,5,5,50,0,0,0,Pakistan
Maqsood Rana,1990-1990,1,1,0,5,5,38.46,0,0,0,Pakistan
Naumanullah,2008-2008,1,1,0,5,5,125,0,0,0,Pakistan
Sajjad Akbar,1990-1990,2,1,0,5,5,55.55,0,0,0,Pakistan
Mohammad Nazir,1980-1984,4,3,3,4,2*,25,0,0,0,Pakistan
Sohail Khan,2008-2011,5,1,0,4,4,44.44,0,0,0,Pakistan
Ijaz Ahmed jnr,1997-1997,2,1,1,3,3*,150,0,0,0,Pakistan
Zahid Ahmed,1987-1987,2,2,1,3,3*,23.07,0,0,1,Pakistan
Junaid Zia,2003-2003,4,2,1,2,2*,28.57,0,0,1,Pakistan
Kashif Raza,2001-2001,1,1,1,2,2*,100,0,0,0,Pakistan
Masood Iqbal,1984-1984,1,1,0,2,2,100,0,0,0,Pakistan
Nadeem Khan,1993-1995,2,1,0,2,2,66.66,0,0,0,Pakistan
Iqbal Sikander,1992-1992,4,1,1,1,1*,33.33,0,0,0,Pakistan
Mahmood Hamid,1995-1995,1,1,0,1,1,16.66,0,0,0,Pakistan
Nasim-ul-Ghani,1973-1973,1,1,0,1,1,12.5,0,0,0,Pakistan
Mohammad Khalil,2005-2005,3,1,1,0,0*,0,0,0,0,Pakistan
Mohammad Talha,2014-2014,3,1,0,0,0,0,0,0,1,Pakistan
Naeem Ahmed,1978-1978,1,1,1,0,0*,0,0,0,0,Pakistan
Najaf Shah,2007-2007,1,1,0,0,0,0,0,0,1,Pakistan
Naseer Malik,1975-1975,3,1,1,0,0*,0,0,0,0,Pakistan
Rahat Ali,2012-2012,1,1,1,0,0*,0,0,0,0,Pakistan
Shadab Kabir,1996-1996,3,3,0,0,0,0,0,0,3,Pakistan
Shakeel Khan,1987-1987,1,1,0,0,0,0,0,0,1,Pakistan
Tanvir Mehdi,1992-1992,1,1,0,0,0,0,0,0,1,Pakistan
Aamer Hameed,1977-1978,2,0,0,0,0,0,0,0,0,Pakistan
Abdur Rauf,2008-2008,4,0,0,0,0,0,0,0,0,Pakistan
Ashfaq Ahmed,1994-1994,3,0,0,0,0,0,0,0,0,Pakistan
Irfan Bhatti,1993-1993,1,0,0,0,0,0,0,0,0,Pakistan
Rizwan Ahmed,2008-2008,1,0,0,0,0,0,0,0,0,Pakistan
Samiullah Khan,2008-2008,2,0,0,0,0,0,0,0,0,Pakistan
Yasir Shah,2011-2011,1,0,0,0,0,0,0,0,0,Pakistan
ST Jayasuriya,1989-2011,441,429,18,13364,189,91.25,28,68,34,Sri Lanka
KC Sangakkara,2000-2014,362,339,36,12241,169,77.32,18,82,14,Sri Lanka
DPMD Jayawardene,1998-2014,407,380,37,11243,144,78.07,15,69,27,Sri Lanka
PA de Silva,1984-2003,308,296,30,9284,145,81.13,11,64,17,Sri Lanka
MS Atapattu,1990-2007,268,259,32,8529,132*,67.72,11,59,13,Sri Lanka
TM Dilshan,1999-2014,277,252,39,8025,160*,85.7,17,34,9,Sri Lanka
A Ranatunga,1982-1999,269,255,47,7456,131*,77.9,4,49,18,Sri Lanka
WU Tharanga,2005-2013,170,162,9,5218,174*,73.95,13,28,14,Sri Lanka
RS Mahanama,1986-1999,213,198,23,5162,119*,60.57,4,35,15,Sri Lanka
RP Arnold,1997-2007,180,155,43,3950,103,72.57,1,28,7,Sri Lanka
AP Gurusinha,1985-1996,147,143,5,3902,117*,60.88,2,22,12,Sri Lanka
HP Tillakaratne,1986-2003,200,168,40,3789,104,57.51,2,13,10,Sri Lanka
RS Kaluwitharana,1990-2004,189,181,14,3711,102*,77.7,2,23,24,Sri Lanka
AD Mathews,2008-2014,121,99,30,2565,80*,83.65,0,19,10,Sri Lanka
WPUJC Vaas,1994-2008,321,219,72,2018,50*,72.45,0,1,25,Sri Lanka
LD Chandimal,2010-2014,80,72,12,1875,111,74.08,2,11,8,Sri Lanka
DA Gunawardene,1998-2006,61,61,1,1708,132,71.49,1,12,5,Sri Lanka
UDU Chandana,1994-2007,147,111,17,1627,89,72.99,0,5,8,Sri Lanka
LPC Silva,1999-2011,75,62,7,1587,107*,70.4,1,13,6,Sri Lanka
RL Dias,1979-1987,58,55,5,1573,121,67.94,2,11,3,Sri Lanka
LRD Mendis,1975-1989,79,74,9,1527,80,75.07,0,7,4,Sri Lanka
CK Kapugedera,2006-2012,92,76,7,1521,95,72.56,0,8,6,Sri Lanka
HDRL Thirimanne,2010-2014,62,47,4,1322,102*,69.83,3,6,3,Sri Lanka
HDPK Dharmasena,1994-2004,141,87,33,1222,69*,65.03,0,4,2,Sri Lanka
KMDN Kulasekara,2003-2014,147,95,29,1064,73,81.34,0,3,8,Sri Lanka
MF Maharoof,2004-2012,104,71,17,1042,69*,84.44,0,2,3,Sri Lanka
DSBP Kuruppu,1983-1990,54,52,1,1022,72,51.66,0,4,3,Sri Lanka
RS Madugalle,1979-1988,63,56,5,950,73,60.35,0,3,4,Sri Lanka
SHT Kandamby,2004-2011,38,35,6,870,93*,69.71,0,5,1,Sri Lanka
TT Samaraweera,1998-2011,53,42,11,862,105*,69.29,2,0,4,Sri Lanka
RS Kalpage,1992-1999,86,69,28,844,51,63.93,0,1,2,Sri Lanka
MAR Samarasekera,1983-1994,39,39,2,844,76,69.92,0,4,2,Sri Lanka
JR Ratnayeke,1982-1990,78,69,14,824,50,52.45,0,1,4,Sri Lanka
S Wettimuny,1982-1987,35,33,1,786,86*,48.04,0,4,1,Sri Lanka
NLTC Perera,2009-2014,75,55,12,782,80*,104.54,0,3,4,Sri Lanka
J Mubarak,2002-2013,40,37,6,704,72,63.13,0,4,1,Sri Lanka
M Muralitharan,1993-2011,343,161,63,674,33*,77.73,0,0,24,Sri Lanka
UC Hathurusingha,1992-1999,35,33,1,669,66,50.75,0,4,3,Sri Lanka
MDKJ Perera,2013-2014,27,25,3,620,106,84.01,1,3,2,Sri Lanka
RJ Ratnayake,1982-1993,70,55,18,612,33*,86.8,0,0,4,Sri Lanka
BMAJ Mendis,2010-2013,39,29,6,468,72,80.96,0,1,1,Sri Lanka
ALF de Mel,1982-1987,57,41,9,466,36,78.31,0,0,6,Sri Lanka
SAR Silva,1984-1985,20,20,0,441,85,52.62,0,3,1,Sri Lanka
SL Malinga,2004-2014,166,80,24,424,56,77.51,0,1,18,Sri Lanka
RG de Alwis,1983-1988,31,27,8,401,59*,78.32,0,2,2,Sri Lanka
WS Jayantha,2004-2004,17,17,2,400,74*,75.47,0,2,2,Sri Lanka
T Thushara,2008-2010,38,27,6,392,54*,92.45,0,1,4,Sri Lanka
DS de Silva,1975-1985,41,29,10,371,37*,53.69,0,0,0,Sri Lanka
GP Wickramasinghe,1990-2002,134,64,24,344,32,63.35,0,0,12,Sri Lanka
DNT Zoysa,1997-2007,95,47,21,343,47*,95.81,0,0,5,Sri Lanka
LWS Kaluperuma,1975-1982,4,3,3,33,14*,55,0,0,0,Sri Lanka
HM Goonatilleke,1982-1982,6,4,3,31,14*,53.44,0,0,0,Sri Lanka
MN Nawaz,1998-2002,3,3,1,31,15*,43.66,0,0,0,Sri Lanka
TCB Fernando,2001-2003,17,10,6,29,14*,49.15,0,0,1,Sri Lanka
ARM Opatha,1975-1979,5,3,0,29,18,52.72,0,0,1,Sri Lanka
HAPW Jayawardene,2003-2007,6,5,0,27,20,61.36,0,0,1,Sri Lanka
S Jeganathan,1983-1988,5,4,1,25,20*,64.1,0,0,0,Sri Lanka
SP Pasqual,1979-1979,2,2,1,24,23*,85.71,0,0,0,Sri Lanka
UNK Fernando,1994-1994,2,2,2,22,20*,88,0,0,0,Sri Lanka
MAWR Madurasinghe,1988-1992,12,6,4,21,8*,33.87,0,0,0,Sri Lanka
KIW Wijegunawardene,1988-1992,26,12,5,20,8*,36.36,0,0,4,Sri Lanka
HSM Pieris,1975-1975,3,3,1,19,16,32.2,0,0,0,Sri Lanka
RGCE Wijesuriya,1982-1985,8,3,2,18,12*,37.5,0,0,1,Sri Lanka
RMS Eranga,2011-2013,13,8,5,17,7*,38.63,0,0,1,Sri Lanka
IS Gallage,1999-2001,3,2,1,17,14,62.96,0,0,0,Sri Lanka
RSA Jayasekera,1982-1982,2,1,0,17,17,40.47,0,0,0,Sri Lanka
KN Amalean,1986-1988,8,3,1,15,9,57.69,0,0,0,Sri Lanka
AMN Munasinghe,1994-1996,5,4,1,13,8,25,0,0,1,Sri Lanka
AM de Silva,1986-1993,4,2,0,12,8,50,0,0,0,Sri Lanka
SMS Kaluperuma,1988-1988,2,2,0,11,7,26.82,0,0,0,Sri Lanka
DLS de Silva,1979-1979,2,1,0,10,10,28.57,0,0,0,Sri Lanka
GN de Silva,1983-1985,4,2,1,9,7,50,0,0,0,Sri Lanka
GRA de Silva,1975-1982,6,4,2,9,6*,27.27,0,0,1,Sri Lanka
TL Fernando,1989-1989,1,1,0,8,8,133.33,0,0,0,Sri Lanka
JC Gamage,1995-1995,4,2,2,8,7*,88.88,0,0,0,Sri Lanka
PDRL Perera,1999-2007,19,7,2,8,4*,44.44,0,0,4,Sri Lanka
DM Vonhagt,1985-1985,1,1,0,8,8,47.05,0,0,0,Sri Lanka
WCA Ganegama,2001-2006,4,2,0,7,7,77.77,0,0,1,Sri Lanka
MKGCP Lakshitha,2002-2003,7,2,1,7,4,58.33,0,0,0,Sri Lanka
M Pushpakumara,2009-2010,3,1,1,7,7*,36.84,0,0,0,Sri Lanka
MKDI Amerasinghe,2007-2008,8,4,4,6,5*,66.66,0,0,0,Sri Lanka
RAS Lakmal,2009-2014,25,11,7,5,2*,13.51,0,0,3,Sri Lanka
UWMBCA Welegedara,2009-2010,10,3,2,4,2*,44.44,0,0,0,Sri Lanka
RPAH Wickramaratne,1993-1993,3,2,0,4,3,66.66,0,0,0,Sri Lanka
JWHD Boteju,1999-1999,2,2,1,3,2,27.27,0,0,0,Sri Lanka
D Gamage,2003-2003,3,2,1,3,2*,30,0,0,0,Sri Lanka
PD Heyn,1975-1975,2,2,0,3,2,15,0,0,0,Sri Lanka
MC Mendis,1995-1995,1,1,1,3,3*,150,0,0,0,Sri Lanka
AAW Gunawardena,1994-1994,1,1,0,2,2,20,0,0,0,Sri Lanka
AP Weerakkody,1994-1994,1,1,0,2,2,50,0,0,0,Sri Lanka
MD Wettimuny,1983-1983,1,1,0,2,2,18.18,0,0,0,Sri Lanka
AGD Wickremasinghe,1992-1993,4,1,0,2,2,20,0,0,0,Sri Lanka
CI Dunusinghe,1995-1995,1,1,0,1,1,100,0,0,0,Sri Lanka
SA Jayasinghe,1979-1979,2,1,0,1,1,33.33,0,0,0,Sri Lanka
AK Perera,2013-2014,3,1,0,1,1,20,0,0,0,Sri Lanka
KJ Silva,1995-1995,1,1,1,1,1*,100,0,0,0,Sri Lanka
KPJ Warnaweera,1990-1993,6,3,3,1,1*,9.09,0,0,0,Sri Lanka
MRCN Bandaratilleke,1998-1998,3,1,0,0,0,0,0,0,1,Sri Lanka
N Pradeep,2012-2012,2,1,1,0,0*,-,0,0,0,Sri Lanka
N Ranatunga,1993-1993,2,1,0,0,0,0,0,0,1,Sri Lanka
ML Udawatte,2008-2008,9,9,0,257,73,67.1,0,2,1,Sri Lanka
S Ranatunga,1994-1996,13,11,0,253,70,48.09,0,2,0,Sri Lanka
GF Labrooy,1986-1992,44,36,7,249,33,71.14,0,0,6,Sri Lanka
CRD Fernando,2001-2012,146,61,35,239,20,60.96,0,0,9,Sri Lanka
S Randiv,2009-2011,28,15,1,239,56,71.55,0,1,2,Sri Lanka
SHU Karnain,1984-1990,19,17,5,229,41*,59.32,0,0,2,Sri Lanka
KS Lokuarachchi,2003-2007,21,18,3,210,69,80.15,0,1,2,Sri Lanka
CPH Ramanayake,1986-1995,62,35,14,210,26,56.14,0,0,7,Sri Lanka
SMSM Senanayake,2012-2014,28,18,7,209,42,101.45,0,0,3,Sri Lanka
SMA Priyanjan,2013-2014,7,7,1,200,74,71.68,0,2,0,Sri Lanka
ASA Perera,1998-2001,20,13,2,195,56*,75.87,0,1,1,Sri Lanka
SI de Saram,1999-2001,15,13,2,183,38,67.77,0,0,0,Sri Lanka
B Warnapura,1975-1982,12,12,0,180,77,43.37,0,1,1,Sri Lanka
SKL de Silva,1997-1997,11,6,3,161,57,83.41,0,2,0,Sri Lanka
HMCM Bandara,2006-2010,31,17,4,160,31,71.42,0,0,3,Sri Lanka
K Weeraratne,2000-2008,15,9,1,160,41,90.39,0,0,0,Sri Lanka
AN Ranasinghe,1975-1982,9,8,1,153,51,104.08,0,1,2,Sri Lanka
DK Liyanage,1992-2001,16,11,2,144,43,69.56,0,0,0,Sri Lanka
EAR de Silva,1986-1992,28,20,6,138,19*,57.26,0,0,2,Sri Lanka
